PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,Season
1627773,AJ Hammons,1610612742,DAL,24.0,22,4,18,0.182,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.5,0.0,0.6,0.2,1.0,0.6,2.2,-0.2,0,0,403,440,339,473,447,437,440,345,343,378,5,392,328,457,339,380,388,465,399,463,93,329,401,397,439,219,222,24,2016-17
201166,Aaron Brooks,1610612754,IND,32.0,65,36,29,0.554,13.7,1.9,4.6,0.403,0.7,2.0,0.375,0.5,0.6,0.8,0.3,0.8,1.1,1.9,1.0,0.4,0.1,0.2,1.4,0.8,5.0,-0.5,0,0,220,140,222,150,351,330,307,348,199,219,109,378,394,167,382,442,438,163,214,345,345,341,311,336,331,248,222,24,2016-17
203932,Aaron Gordon,1610612753,ORL,21.0,80,29,51,0.363,28.7,4.9,10.8,0.454,1.0,3.3,0.288,2.0,2.7,0.719,1.5,3.6,5.1,1.9,1.1,0.8,0.5,0.6,2.2,2.1,12.7,-2.0,7,0,38,215,18,378,106,88,89,199,158,128,314,107,100,309,87,114,107,168,190,136,123,112,135,116,101,361,80,24,2016-17
1626151,Aaron Harrison,1610612766,CHA,22.0,5,2,3,0.4,3.3,0.0,0.8,0.0,0.0,0.4,0.0,0.2,0.4,0.5,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.4,0.2,0.2,-1.0,0,0,458,452,454,325,476,485,482,481,447,382,401,449,439,443,478,459,472,374,481,481,471,474,463,462,482,289,222,24,2016-17
203940,Adreian Payne,1610612750,MIN,26.0,18,5,13,0.278,7.5,1.3,3.0,0.426,0.2,0.8,0.2,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.1,1.8,0.7,3.5,0.6,0,0,419,434,386,441,445,387,396,288,360,341,375,294,292,281,276,372,371,433,403,310,176,445,219,368,379,154,222,24,2016-17
201143,Al Horford,1610612738,BOS,31.0,68,46,22,0.676,32.3,5.6,11.8,0.473,1.3,3.6,0.355,1.6,2.0,0.8,1.4,5.4,6.8,5.0,1.7,0.8,1.3,0.4,2.0,1.8,14.0,3.2,8,0,192,62,298,50,59,64,70,149,116,108,173,145,157,167,96,38,45,34,91,146,22,218,155,151,78,43,71,24,2016-17
2744,Al Jefferson,1610612754,IND,32.0,66,33,33,0.5,14.1,3.6,7.1,0.499,0.0,0.0,0.0,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.5,0.3,0.2,0.5,1.9,1.1,8.1,-1.5,1,0,212,177,173,214,347,166,185,109,438,447,401,245,244,239,127,151,148,327,387,378,264,145,184,268,202,327,168,24,2016-17
202329,Al-Farouq Aminu,1610612757,POR,26.0,61,33,28,0.541,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.5,1.0,0.7,0.4,1.7,1.9,8.7,0.4,4,0,253,177,238,161,97,204,172,379,132,118,247,148,136,328,108,24,36,192,110,95,72,204,244,143,186,168,108,24,2016-17
101187,Alan Anderson,1610612746,LAC,34.0,30,20,10,0.667,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.2,0.1,0.0,0.0,1.2,0.6,2.9,-2.6,0,0,383,307,409,56,403,419,412,407,277,275,272,399,407,260,455,446,455,437,453,458,469,474,365,389,407,398,222,24,2016-17
1626210,Alan Williams,1610612756,PHX,24.0,47,11,36,0.234,15.1,2.9,5.7,0.517,0.0,0.0,0.0,1.5,2.4,0.625,2.0,4.2,6.2,0.5,0.8,0.6,0.7,0.4,2.7,2.1,7.4,0.0,15,0,319,392,136,459,329,215,247,79,423,437,401,157,124,393,42,83,65,411,290,235,79,184,45,115,221,188,36,24,2016-17
